Price,Make,Model,Year,Variant,BodyType,EngineSize,Transmission,FuelType,Mileage,Number of Doors,Location,DatePosted,DateNow,CruiseControl,LeatherUpholstery,PushStart,AirConditioning,EntertainmentSystem,Airbag:Driver,Airbag:FrontPassenger,Airbag:Side,Airbag:Curtain,Airbag:Knee,ABS,Immobilizer,SecurityAlarm
"P1,090,000",Changan,CS55 Plus,2023,1.5L 7DCT-HYPE,SUV,1.5,Automatic,Gasoline,"3,300 km",5,"Angeles City, Pampanga, Central Luzon",09/19/2024,2024-09-19 19:58:32.427703,Yes,Yes,Yes,Automatic Air-Conditioning with PM0.1 air filter and ion generator,12.3-inch infotainment system with six speakers,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
"P540,000",Mazda,3,2018,1.5 SkyActiv AT,Hatchback,1.5,Automatic,Gasoline,"30,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/19/2024,2024-09-19 19:58:32.826280,No,No,No,Manual Air Conditioning,LCD Head Unit Audio System,Yes,Yes,No,No,No,No,Yes,Yes
"P830,000",Nissan,Navara,2019,El Calibre AT,Pickup Truck,2.5,Automatic,Diesel,"40,000 km",4,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/19/2024,2024-09-19 19:58:33.372132,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P870,000",Isuzu,mu-X,2017,3.0 LS-A AT,SUV,3,Automatic,Diesel,"50,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",07/15/2024,2024-09-19 19:58:33.809894,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P590,000",Honda,Mobilio,2017,V AT,AUV,1.5,Automatic,Gasoline,"40,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",07/21/2024,2024-09-19 19:58:34.190293,No,No,No,powerful AC with manual controls,"2-DIN music system with CD, MP3, USB, iPod, AUX-in, Bluetooth and speakers",Yes,Yes,No,No,No,Yes,Yes,Yes
"P810,000",Hyundai,Tucson,2019,2.0 CRDi GL 4x2 AT,Crossover,2,Automatic,Diesel,"50,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",07/21/2024,2024-09-19 19:58:34.582284,No,No,No,Manual Air-Conditioning,3.8-inch floating type audio display via 6 speakers,Yes,Yes,No,No,No,,Yes,Yes
"P270,000",Suzuki,APV,2008,GLX MT,MPV,1.6,Manual,Gasoline,"90,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",07/26/2024,2024-09-19 19:58:34.899617,No,No,No,Manual Air-conditioning,Integrated AM/FM/CD/MP3/AUX/USB,No,No,No,No,No,Yes,Yes,Yes
"P930,000",Nissan,NV350 Urvan,2021,2.5L MT Diesel,Van,2.5,Manual,Diesel,"30,000 km",,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",07/30/2024,2024-09-19 19:58:35.227393,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P790,000",Kia,Sportage,2018,CRDi,Crossover,2,Automatic,Diesel,"50,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",07/30/2024,2024-09-19 19:58:36.708730,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P690,000",Ford,Everest,2016,Ambiente (4X2) AT,SUV,2.2,Automatic,Diesel,"70,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",07/31/2024,2024-09-19 19:58:37.089512,No,No,No,Manual Air Con,In Dash CD/AM/FM Audio System,Yes,Yes,No,No,No,Yes,Yes,Yes
"P630,000",Ford,Explorer,2013,3.5L 4WD AT,SUV,3.5,Automatic,Gasoline,"80,000 km",,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/02/2024,2024-09-19 19:58:37.450703,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P655,000",Ford,EcoSport,2020,Titanium Ecoboost AT,SUV,,Automatic,Gasoline,"40,000 km",,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/05/2024,2024-09-19 19:58:38.057915,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P660,000",Honda,BR-V,2019,1.5 V CVT,Crossover,1.5,CVT,Gasoline,"40,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/19/2024,2024-09-19 19:58:38.463565,No,Yes,Yes,Automatic Climate Control with Rear Independent Controls,"7-inch Touchscreen Display Audio with, Apple CarPlay/Android Auto, Bluetooth, and USB via 4 speakers",Yes,Yes,No,No,No,,Yes,Yes
"P395,000",Suzuki,Swift,2017,1.2L AT Gasoline,Hatchback,1.2,Automatic,Gasoline,"50,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/19/2024,2024-09-19 19:58:38.750938,No,No,No,Manual Air Con,In Dash AM/FM/CD Audio System,Yes,Yes,No,No,No,No,No,No
"P525,000",Toyota,Avanza,2018,1.3 E AT,MPV,1.3,Automatic,Gasoline,"50,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/19/2024,2024-09-19 19:58:39.108966,No,No,No,Dual Manual Air Conditioning,4-speaker head unit,Yes,Yes,No,No,No,,No,No
"P420,000",Mitsubishi,Mirage G4,2020,AT,Sedan,1.2,Automatic,Gasoline,"30,000 km",4,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/19/2024,2024-09-19 19:58:39.412548,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P590,000",Ford,EcoSport,2019,1.5 Trend AT,Crossover,1.5,Automatic,Gasoline,"4,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/05/2024,2024-09-19 19:58:39.730811,No,No,No,Manual Temperature Control,9-inch Colored Touchscreen via 4 speakers,Yes,Yes,Yes,No,No,,Yes,No
"P930,000",Mitsubishi,Montero Sport,2018,GLS AT,SUV,2.5,Automatic,Diesel,"50,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/05/2024,2024-09-19 19:58:40.023881,No,No,No,Automatic Airconditioning,NAVI-Ready Display Audio AM/FM/MP3,Yes,Yes,No,No,No,No,No,No
"P430,000",Hyundai,Elantra,2017,1.6L GL AT,Sedan,1.6,Automatic,Gasoline,"60,000 km",4,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/08/2024,2024-09-19 19:58:40.334775,No,No,No,Manual Air-conditioning,AM/FM/CD/USB/Aux,Yes,Yes,No,No,No,Yes,Yes,No
"P550,000",Toyota,Vios,2019,1.3L E AT GASOLINE,Sedan,1.3,Automatic,Gasoline,"20,000 km",4,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/19/2024,2024-09-19 19:58:40.738200,No,No,No,n/a,n/a,Yes,Yes,No,No,No,No,No,No
"P380,000",Toyota,Vios,2014,1.3 E AT,Sedan,1.3,Automatic,Gasoline,"80,000 km",4,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/19/2024,2024-09-19 19:58:41.189569,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P335,000",Hyundai,Elantra,2013,1.6 GL AT,Sedan,1.6,Autoamtic,Gasoline,"80,000 km",4,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/18/2024,2024-09-19 19:58:41.561344,No,No,No,Manual Air-Conditioning,Integrated AM/FM/CD/MP3/AUX/USB,Yes,No,No,No,No,No,No,No
"P930,000",Mitsubishi,Xpander,2022,Cross 1.5 AT,MPV,1.5,Automatic,Gasoline,"20,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/18/2024,2024-09-19 19:58:42.054209,Yes,Yes,Yes,Automatic Climate Control,7-inch touchscreen infotainment system,Yes,Yes,No,No,No,,Yes,Yes
"P620,000",Mazda,CX-3,2017,2.0 AWD AT,Crossover,,Automatic,Gasoline,"60,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/17/2024,2024-09-19 19:58:42.421383,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P510,000",Chevrolet,Trailblazer,2014,2.8L AT Diesel,SUV,2.8,Automatic,Diesel,"70,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/16/2024,2024-09-19 19:58:42.737476,No,No,No,Manual Air Conditioning,In Dash CD/AM/FM Audio System,Yes,Yes,No,No,No,No,No,No
"P695,000",Hyundai,H-100,2020,Shuttle Body (FB) Dual AC M/T,Commercial Vehicle,2.5,Manual,Diesel,"46,441 km",3,"Malolos City, Bulacan, Central Luzon",06/25/2024,2024-09-19 19:58:43.039157,No,No,No,Manual Air Conditioner,FM/AM/Radio,No,No,No,No,No,No,No,No
"P860,000",Ford,Territory,2021,1.5 Titanium AT,SUV,1.5,Automatic,Gasoline,"20,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/16/2024,2024-09-19 19:58:43.331631,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P495,000",Honda,Mobilio,2015,V A/T,MPV,1.5,Automatic,Gasoline,"50,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/16/2024,2024-09-19 19:58:43.622380,No,No,No,Dual Manual Aircon,n/a,Yes,Yes,No,No,No,,Yes,Yes
"P630,000",Honda,BR-V,2018,1.5 S CVT,Crossover,1.5,CVT,Gasoline,"50,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/16/2024,2024-09-19 19:58:43.920013,No,No,No,Automatic Climate Control,7-inch Touchscreen Display,Yes,Yes,No,No,No,,Yes,Yes
"P840,000",Toyota,Avanza,2022,1.3 E AT,MPV,1.3,Automatic,Gasoline,"30,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/16/2024,2024-09-19 19:58:44.215088,No,No,No,Digital Control Air Conditioning,Audio Display,Yes,Yes,No,No,No,,Yes,Yes
"P940,000",Toyota,Fortuner,2017,G 2.7L AT Gasoline,SUV,2.7,Automatic,Gasoline,"60,000 km",,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/16/2024,2024-09-19 19:58:44.520529,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P540,000",Honda,City,2018,E AT,Sedan,1.5,Automatic,Gasoline,"40,000 km",4,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/20/2024,2024-09-19 19:58:44.781744,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P570,000",Ford,EcoSport,2019,Titanium 1.0 AT,Crossover,1,Automatic,Gasoline,"30,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/21/2024,2024-09-19 19:58:45.120098,Yes,No,Yes,Automatic Climate Control,"8-inch touchscreen with SYNC 3,Apple CarPlay Android Auto",Yes,Yes,Yes,No,No,,No,No
"P688,000",Toyota,Vios,2023,XLE 1.3 CVT,Sedan,1.3,CVT,Gasoline,"11,000 km",4,"Aguinaldo Highway Bayan Luna IV Imus, Cavite",07/25/2024,2024-09-19 19:58:45.448640,No,No,No,"Manual Cooler, Dial Type Control",6.75in Display Audio via 4-speakers,Yes,Yes,No,No,Yes,,No,Yes
"P630,000",Mitsubishi,Strada,2015,GLX  MT,Pickup Truck,2.5,Manual,Diesel,"70,000 km",4,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/15/2024,2024-09-19 19:58:45.815589,No,No,No,Manual Air Conditioning,In Dash AM/FM/CD Audio System,Yes,Yes,No,No,No,No,No,No
"P1,120,000",Suzuki,Jimny,2020,1.5L AT Gasoline,Wagon,1.5,Automatic,Gasoline,"40,000 km",,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/15/2024,2024-09-19 19:58:46.209750,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P490,000",Toyota,Vios,2019,1.3L E AT GASOLINE,Sedan,1.3,Automatic,Gasoline,"50,000 km",4,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/15/2024,2024-09-19 19:58:46.619496,No,No,No,n/a,n/a,Yes,Yes,No,No,No,No,No,No
"P670,000",Mazda,CX-5,2016,AT,SUV,,Automatic,Diesel,"70,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/15/2024,2024-09-19 19:58:46.969281,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P630,000",Honda,BR-V,2017,1.5 S CVT,Crossover,1.5,CVT,Gasoline,"70,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/22/2024,2024-09-19 19:58:47.296293,No,No,No,Manual Air-Conditioning with Rear Independent Controls,7-inch Touch Screen Display Audio,Yes,Yes,No,No,No,,Yes,Yes
"P430,000",Suzuki,Ertiga,2015,GLX AT,MPV,1.4,Automatic,Gasoline,"70,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/22/2024,2024-09-19 19:58:47.834924,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P760,000",Honda,HR-V,2019,1.8L AT Gasoline,SUV,1.8,Automatic,Gasoline,"40,000 km",,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/22/2024,2024-09-19 19:58:48.238857,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P520,000",Nissan,Juke,2017,AT Gasoline,Crossover,1.6,Automatic,Gasoline,"60,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/23/2024,2024-09-19 19:58:48.563019,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P435,000",Toyota,Wigo,2019,1.0 G AT,Hatchback,1.0,Automatic,Gasoline,"40,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/23/2024,2024-09-19 19:58:48.894866,No,No,No,Manual,Navi MP3 Am/Fm,Yes,Yes,No,No,No,No,No,No
"P380,000",Hyundai,Reina,2019,1.4 GL AT,Sedan,1.4,Automatic,Gasoline,"40,000 km",4,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/23/2024,2024-09-19 19:58:49.151090,No,No,No,Manual Air-Conditioning,1-DIN AM/FM Radio,Yes,Yes,No,No,No,,No,No
"P720,000",Honda,Civic,2016,1.8E CVT,Sedan,1.8,CVT,Gasoline,"60,000 km",4,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/24/2024,2024-09-19 19:58:49.951726,No,No,No,n/a,n/a,Yes,Yes,No,No,No,No,No,No
"P630,000",Mitsubishi,Xpander,2019,GLX Plus AT,MPV,1.5,Automatic,Gasoline,"40,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/15/2024,2024-09-19 19:58:50.265745,Yes,No,No,Manual Air-Conditioning with rear vents,7-inch touchscreen headunit with 4 speakers and GPS Navigation,Yes,Yes,No,No,No,,Yes,No
"P630,000",Honda,BR-V,2017,1.5 S CVT,Crossover,1.5,CVT,Gasoline,"70,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/22/2024,2024-09-19 19:58:50.936146,No,No,No,Manual Air-Conditioning with Rear Independent Controls,7-inch Touch Screen Display Audio,Yes,Yes,No,No,No,,Yes,Yes
"P430,000",Suzuki,Ertiga,2015,GLX AT,MPV,1.4,Automatic,Gasoline,"70,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/22/2024,2024-09-19 19:58:51.335613,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P760,000",Honda,HR-V,2019,1.8L AT Gasoline,SUV,1.8,Automatic,Gasoline,"40,000 km",,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/22/2024,2024-09-19 19:58:51.764296,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P520,000",Nissan,Juke,2017,AT Gasoline,Crossover,1.6,Automatic,Gasoline,"60,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/23/2024,2024-09-19 19:58:52.098334,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P435,000",Toyota,Wigo,2019,1.0 G AT,Hatchback,1.0,Automatic,Gasoline,"40,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/23/2024,2024-09-19 19:58:52.595716,No,No,No,Manual,Navi MP3 Am/Fm,Yes,Yes,No,No,No,No,No,No
"P380,000",Hyundai,Reina,2019,1.4 GL AT,Sedan,1.4,Automatic,Gasoline,"40,000 km",4,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/23/2024,2024-09-19 19:58:53.949433,No,No,No,Manual Air-Conditioning,1-DIN AM/FM Radio,Yes,Yes,No,No,No,,No,No
