JobTitle,Company,Location,is_remote,Salary,Benefits,listing_date,date_parsed,URL
Data Scientist,Jollibee Foods Corporation Employees' Multi-Purpose Cooperative,Pasig City,N,,,4d ago,2024-08-25,https://www.jobstreet.com.ph/job/78270337?type=standard&ref=search-standalone
Data Scientist,YONDU INC.,Bonifacio Global City,N,,,4d ago,2024-08-25,https://www.jobstreet.com.ph/job/78281721?type=standard&ref=search-standalone
[URGENT] Data Scientist,YONDU INC.,Bonifacio Global City,N,,,4d ago,2024-08-25,https://www.jobstreet.com.ph/job/78282114?type=standard&ref=search-standalone
Data Analyst,LOPHILS INC.,Metro Manila,Y,"₱35,000 – ₱50,000 per month","['Big data', 'Scaling work', 'Professional Growth and Learning Opportunities']",2d ago,2024-08-25,https://www.jobstreet.com.ph/job/78320296?type=standout&ref=search-standalone
Senior Data Engineer | Remote,INTELEGENCIA BPO LLC CORP.,Ortigas,Y,,,1d ago,2024-08-25,https://www.jobstreet.com.ph/job/78345438?type=standard&ref=search-standalone
Graduate Data Analyst,LOPHILS INC.,Metro Manila,Y,"PHP 25,000 - 35,000","['Big data', 'Scaling work', 'Professional Growth and Learning Opportunities']",2d ago,2024-08-25,https://www.jobstreet.com.ph/job/78320257?type=standout&ref=search-standalone
Data and Analytics Head,St. Luke's Medical Center,Quezon City,N,,"['Lead Cutting-Edge Data Innovation', 'Strategic Impact with Executive Exposure', 'Collaborative and Growth-Oriented Environment']",4d ago,2024-08-25,https://www.jobstreet.com.ph/job/78278961?type=standout&ref=search-standalone
Data Science Consultant,AIA Philippines,Makati City,N,,"['HMO with 4 free eligible dependents', 'Guaranteed 14th-month pay', 'Group Life Insurance, Retirement Plan and other protection benefits.']",6d ago,2024-08-25,https://www.jobstreet.com.ph/job/78203368?type=standout&ref=search-standalone
Research Executive / Junior Data Scientist,Personal Collection Direct Selling Inc.,Quezon City,N,,"['Offers a hybrid work arrangement', 'Competitive compensation package']",9d ago,2024-08-25,https://www.jobstreet.com.ph/job/78141316?type=standout&ref=search-standalone
Data Analytics Engineer,"NinjaAsia, Inc.",Metro Manila,Y,,,4d ago,2024-08-25,https://www.jobstreet.com.ph/job/78266471?type=standard&ref=search-standalone
Data Analyst,Trip.com Group,Taguig City,N,,['Competitive Salary'],2d ago,2024-08-25,https://www.jobstreet.com.ph/job/78341453?type=standout&ref=search-standalone
Data Scientist (Full Stack),"Ellora Telecom Philippines, Inc.",Clark Freeport Zone,N,"₱100,000 – ₱120,000 per month","['Diverse Opportunities', 'Work-Life Balance', 'Competitive Compensation']",11d ago,2024-08-25,https://www.jobstreet.com.ph/job/78090099?type=standout&ref=search-standalone
